id,web_name,team_name,position,price,selected_by_percent,total_points,event_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,in_dreamteam,news,news_added,now_cost,photo,removed,second_name,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,region,team_join_date,birth_date,has_temporary_code,opta_code,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
95,Silcott-Duberry,Bournemouth,MID,4.4,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,530121,0,0,-1,1,0,3,0.0,0.0,Zain,False,has joined Olympiakos permanently.,2025-09-22T21:51:49.994072Z,44,530121.jpg,False,Silcott-Duberry,False,,u,4,91,15405,0,17880,310,0.0,0.0,241.0,2025-01-17,2005-07-09,False,p530121,0,0,0,0,0,587,221,579,222,555,214,588,222,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,545,313,551,200,597,227,494,173,0.0,0.0,0.0
96,Winterburn,Bournemouth,MID,4.5,0.0,1,0,0.0,1.0,6,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.31,True,False,0.0,0.0,606775,0,0,0,0,0,3,0.0,0.0,Ben,False,has joined Barnet on loan for the rest of the season.,2025-09-02T12:54:34.599400Z,45,606775.jpg,False,Winterburn,False,,u,4,91,2964,0,9038,50,0.0,0.2,241.0,2024-11-29,2004-09-04,False,p606775,0,0,0,0,0,666,278,660,279,641,272,667,279,,,,,,,0.0,0.0,0.0,0.0,4.65,30.0,476,288,628,256,382,176,601,238,0.0,0.0,0.0
97,Evanilson,Bournemouth,FWD,7.0,1.4,23,1,0.3,2.9,645,1,1,3,8,0,0,0,1,0,0,2,90,59.0,107.2,173.0,33.8,1.32,0.30,1.62,6.53,True,True,100.0,100.0,444102,0,0,0,0,0,4,0.3,-0.2,Francisco Evanilson,False,,2025-10-19T01:30:09.447327Z,70,444102.jpg,False,de Lima Barbosa,False,,a,4,91,487091,2648,581662,4799,0.0,3.3,30.0,2024-08-16,1999-10-06,False,p444102,6,23,1,30,7,258,23,87,5,29,13,101,14,,,,,2.0,,0.18,0.0,0.04,0.22,0.91,1.12,35,15,357,45,175,18,153,22,0.98,0.42,4.19
98,Enes Ünal,Bournemouth,FWD,5.4,0.0,1,0,0.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,100.0,100.0,168636,0,0,-1,1,0,4,0.3,-0.2,Enes,False,,2025-07-21T10:00:04.802496Z,54,168636.jpg,False,Ünal,False,,a,4,91,1659,386,1417,100,0.1,0.2,219.0,2024-07-01,1997-05-10,False,p168636,0,0,0,0,0,722,76,721,76,716,76,722,76,,,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,162,40,351,41,413,47,661,80,0.0,0.0,0.0
99,Adu-Adjei,Bournemouth,FWD,4.4,0.2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,590760,0,0,-1,1,0,4,0.0,0.0,Daniel,False,has joined HNK Rijeka permanently.,2025-09-22T21:19:25.247985Z,44,590760.jpg,False,Adu-Adjei,False,,u,4,91,22144,0,38464,457,0.0,0.0,241.0,2022-12-19,2005-06-21,False,p590760,0,0,0,0,0,601,63,593,62,570,62,602,63,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,563,76,565,59,611,65,371,57,0.0,0.0,0.0
100,Kroupi.Jr,Bournemouth,FWD,4.6,4.2,29,2,6.7,4.1,224,4,0,1,6,0,0,0,1,0,0,4,131,142.4,28.9,136.0,30.7,1.81,0.13,1.94,4.85,True,True,,,560262,0,0,1,-1,0,4,6.7,6.2,Eli Junior,False,,,46,560262.jpg,False,Kroupi,False,,a,4,91,591022,41123,225059,9286,1.5,6.3,73.0,2025-02-02,2006-06-23,False,p560262,5,8,1,14,3,117,11,260,25,52,19,119,17,,,,,,,0.73,0.0,0.05,0.78,1.95,2.41,390,60,12,3,69,9,84,16,1.21,0.4,5.62
391,Gannon-Doak,Bournemouth,MID,4.9,0.0,7,1,0.7,1.8,53,0,1,0,1,0,0,0,0,0,0,0,22,21.2,14.0,11.0,4.7,0.09,0.09,0.18,2.66,True,True,,,496208,0,0,-1,1,0,3,0.7,0.2,Ben,False,,,49,496208.jpg,False,Gannon-Doak,False,,a,4,91,4329,35,6059,96,0.1,1.4,243.0,2025-08-18,2005-11-11,False,p496208,1,0,2,3,0,357,167,321,174,308,162,362,174,,,,,,,0.15,0.0,0.15,0.3,4.52,1.7,340,213,295,142,297,137,583,221,0.0,0.0,5.09
685,Diakité,Bournemouth,DEF,4.5,0.4,30,1,1.3,3.8,720,0,0,3,13,0,0,0,1,0,0,2,109,161.4,38.3,12.0,21.3,0.00,0.09,0.09,12.38,True,True,100.0,100.0,242882,0,0,0,0,1,2,1.3,0.8,Bafodé,False,,2025-09-13T21:30:08.472990Z,45,242882.jpg,False,Diakité,False,,a,4,91,79198,303,55035,1218,0.3,6.7,73.0,2025-08-13,2001-01-06,False,p242882,61,30,11,72,8,92,45,231,67,303,101,197,63,,,,,,,0.0,0.0,0.01,0.01,1.55,1.62,415,84,238,83,90,37,247,92,1.0,0.38,9.0
687,Rees-Dottin,Bournemouth,MID,4.4,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,606774,0,0,-1,1,0,3,0.0,-0.5,Remy,False,,,44,606774.jpg,False,Rees-Dottin,False,,a,4,91,11185,163,10695,254,0.0,0.0,241.0,2024-12-28,2006-03-06,False,p606774,0,0,0,0,0,605,232,597,233,574,225,606,233,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,567,325,569,211,615,238,418,140,0.0,0.0,0.0
697,Adli,Bournemouth,MID,5.4,0.0,7,0,0.7,1.0,183,0,0,0,3,0,0,0,0,0,0,0,36,52.8,50.4,34.0,13.7,0.10,0.09,0.19,3.81,True,True,,,489888,-1,1,-1,1,0,3,0.7,0.2,Amine,False,,,54,489888.jpg,False,Adli,False,,a,4,91,4599,78,4042,106,0.1,1.3,145.0,2025-08-21,2000-05-10,False,p489888,8,16,11,35,1,274,118,193,129,233,131,267,131,,,,,,,0.05,0.0,0.04,0.09,1.87,1.48,181,113,301,146,416,199,610,244,0.49,0.0,17.21
713,A.Jimenez,Bournemouth,DEF,4.5,0.0,9,1,2.7,1.3,374,0,0,1,8,0,0,0,3,0,0,0,50,56.0,34.7,15.0,10.6,0.05,0.12,0.17,7.20,True,True,,,551483,0,0,0,0,0,2,2.7,2.2,Álex,False,,,45,551483.jpg,False,Jiménez Sánchez,False,,a,4,91,2644,166,1348,66,0.6,2.0,200.0,2025-09-01,2005-05-08,False,p551483,12,15,10,22,5,268,105,240,69,290,90,297,99,,,,,,,0.01,0.0,0.03,0.04,1.73,1.93,453,96,146,54,345,122,637,219,1.2,0.24,5.29
721,Milosavljević,Bournemouth,DEF,4.5,0.0,11,0,2.0,3.7,185,0,0,1,1,0,0,0,0,0,0,0,42,37.2,11.8,6.0,5.5,0.00,0.18,0.18,1.21,True,True,,,620487,0,0,0,0,0,2,2.0,1.5,Veljko,False,,,45,620487.jpg,False,Milosavljevic,False,,a,4,91,4554,63,2588,93,0.4,2.4,190.0,2025-09-01,2007-06-28,False,p620487,14,3,1,15,2,314,118,330,113,336,116,351,117,,,,,,,0.0,0.0,0.09,0.09,0.59,0.49,483,100,178,69,100,41,613,214,0.97,0.49,7.3
27,Nelson,Brentford,MID,4.8,0.1,1,1,0.2,1.0,15,0,0,0,0,0,0,0,0,0,0,0,7,4.8,1.6,9.0,1.5,0.06,0.03,0.09,0.04,True,True,100.0,100.0,200641,0,0,-2,2,0,3,0.2,0.2,Reiss,False,,2025-09-26T15:00:07.964360Z,48,200641.jpg,False,Nelson,False,,a,5,94,7499,107,13509,156,0.0,0.2,241.0,2025-09-01,1999-12-10,False,p200641,0,3,0,3,0,410,193,383,194,315,167,406,191,,,,,,,0.36,0.0,0.18,0.54,0.24,0.0,358,227,369,175,391,183,458,156,0.0,0.0,18.0
83,O.Dango,Brentford,MID,6.0,0.5,35,2,4.0,3.9,550,2,1,2,8,0,0,0,1,0,0,4,87,105.6,56.9,239.0,39.7,2.58,0.38,2.96,7.01,True,True,100.0,100.0,533463,0,0,0,0,1,3,4.0,4.0,Dango,False,,2025-08-14T16:00:05.815568Z,60,533463.jpg,False,Ouattara,False,,a,5,94,194443,2122,158106,2446,0.7,5.8,35.0,2025-08-16,2002-02-11,False,p533463,19,24,4,47,6,174,73,178,121,10,5,71,46,,,,,,,0.42,0.0,0.06,0.48,1.15,1.31,91,59,81,37,88,37,230,80,0.98,0.33,7.69
101,Kelleher,Brentford,GKP,4.5,7.9,30,1,3.0,3.0,900,0,0,2,16,0,1,0,1,0,25,0,125,208.2,10.0,0.0,21.9,0.00,0.01,0.01,13.09,True,True,100.0,100.0,200720,0,0,0,0,0,1,3.0,3.0,Caoimhín,False,,2025-08-09T14:00:04.798673Z,45,200720.jpg,False,Kelleher,False,,a,5,94,284236,4376,555597,10322,0.7,6.7,104.0,2025-06-03,1998-11-23,False,p200720,8,86,1,0,10,53,9,343,6,585,65,190,9,,,,,,,0.0,2.5,0.0,0.0,1.31,1.6,404,23,118,11,154,18,49,9,1.0,0.2,0.0
102,Balcombe,Brentford,GKP,4.0,0.3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,235448,0,0,0,0,0,1,0.0,0.0,Ellery,False,,,40,235448.jpg,False,Balcombe,False,,a,5,94,9801,139,14783,287,0.0,0.0,241.0,2016-11-02,1999-10-15,False,p235448,0,0,0,0,0,500,54,485,41,452,28,500,54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,638,56,449,47,508,54,317,45,0.0,0.0,0.0
103,Cox,Brentford,GKP,4.0,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,503300,0,0,0,0,0,1,0.0,0.0,Matthew,False,,,40,503300.jpg,False,Cox,False,,a,5,94,3896,66,6489,149,0.0,0.0,241.0,2021-10-26,2003-05-02,False,p503300,0,0,0,0,0,524,68,510,55,477,42,525,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,670,70,474,61,533,68,415,63,0.0,0.0,0.0
104,Eyestone,Brentford,GKP,4.0,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,535017,0,0,0,0,0,1,0.0,0.0,Julian,False,,,40,535017.jpg,False,Eyestone,False,,a,5,94,1492,33,3424,76,0.0,0.0,229.0,2024-08-08,2006-04-21,False,p535017,0,0,0,0,0,527,69,513,56,481,43,528,69,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,675,71,478,62,536,69,521,78,0.0,0.0,0.0
105,Valdimarsson,Brentford,GKP,3.9,0.7,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,507433,0,0,-1,1,0,1,0.0,0.0,Hákon Rafn,False,,,39,507433.jpg,False,Valdimarsson,False,,a,5,94,21706,2092,44097,756,0.0,0.0,99.0,2024-01-26,2001-10-13,False,p507433,0,0,0,0,0,458,37,441,22,408,9,458,37,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,723,85,406,30,466,37,199,28,0.0,0.0,0.0
106,Collins,Brentford,DEF,4.9,1.1,30,0,3.5,3.0,900,0,0,2,16,1,0,0,4,0,0,2,90,220.8,24.4,104.0,35.1,0.31,0.39,0.70,13.09,True,True,,,432830,0,0,-1,1,0,2,3.5,3.5,Nathan,False,,,49,432830.jpg,False,Collins,False,,a,5,94,61843,735,121208,3552,0.7,6.1,104.0,2023-07-04,2001-04-30,False,p432830,94,32,7,101,10,48,18,278,89,76,9,93,29,,,,,,,0.03,0.0,0.04,0.07,1.31,1.6,321,53,99,36,157,58,168,62,1.0,0.2,10.1
107,Lewis-Potter,Brentford,DEF,4.9,0.3,21,1,1.2,2.3,446,0,1,2,9,0,0,0,1,0,0,0,61,61.8,75.8,24.0,16.2,0.16,0.37,0.53,7.37,True,True,,,249231,0,0,-1,1,0,2,1.2,1.2,Keane,False,,,49,249231.jpg,False,Lewis-Potter,False,,a,5,94,19276,150,34402,795,0.2,4.3,241.0,2022-07-12,2001-02-22,False,p249231,15,19,7,22,5,251,100,133,30,263,80,238,81,,,4.0,,,,0.03,0.0,0.07,0.1,1.49,1.82,317,52,249,85,228,86,303,108,1.01,0.4,4.44
108,Ajer,Brentford,DEF,4.4,0.2,19,1,3.2,2.7,388,0,2,1,6,0,0,0,0,0,0,0,67,82.8,14.8,91.0,19.0,0.43,0.50,0.93,4.04,True,True,,,191866,0,0,-1,1,0,2,3.2,3.2,Kristoffer,False,,,44,191866.jpg,False,Ajer,False,,a,5,94,9017,250,13488,299,0.7,4.3,161.0,2021-07-21,1998-04-17,False,p191866,21,7,13,34,4,219,88,315,106,94,13,216,72,,,,,,,0.1,0.0,0.12,0.22,0.94,1.39,500,111,109,39,186,71,392,145,0.93,0.23,7.89
109,Henry,Brentford,DEF,4.4,0.1,5,0,0.2,0.7,169,0,0,0,6,0,0,0,1,0,0,0,7,16.4,12.4,12.0,3.9,0.13,0.06,0.19,4.95,True,True,,,194010,0,0,-1,1,0,2,0.2,0.2,Rico,False,,,44,194010.jpg,False,Henry,False,,a,5,94,4266,29,11413,245,0.0,1.1,241.0,2016-08-31,1997-07-08,False,p194010,6,10,4,10,1,365,134,326,111,302,100,376,130,,,,,,,0.07,0.0,0.03,0.1,2.64,3.2,502,113,364,125,437,148,455,167,0.53,0.0,5.33
110,Kayode,Brentford,DEF,4.5,0.4,30,1,3.2,3.0,862,0,0,2,15,0,0,0,0,0,0,5,121,177.6,177.1,21.0,37.6,0.09,1.22,1.31,12.80,True,True,,,607464,0,0,0,0,0,2,3.2,3.2,Michael,False,,,45,607464.jpg,False,Kayode,False,,a,5,94,64340,1226,40678,1441,0.7,6.7,106.0,2025-07-01,2004-07-10,False,p607464,41,45,18,59,10,80,36,37,6,275,85,79,20,,,,,,,0.01,0.0,0.13,0.14,1.34,1.57,477,99,112,42,156,57,251,95,1.04,0.21,6.16
111,Pinnock,Brentford,DEF,4.3,0.1,0,0,0.0,0.0,155,0,0,0,4,1,0,0,1,0,0,0,1,31.8,0.8,10.0,4.3,0.00,0.04,0.04,2.11,True,True,100.0,100.0,231065,0,0,-2,2,0,2,0.0,0.0,Ethan,False,,2025-08-18T08:00:05.393517Z,43,231065.jpg,False,Pinnock,False,,a,5,94,5463,69,18104,278,0.0,0.0,107.0,2019-07-02,1993-05-29,False,p231065,13,4,2,15,2,324,123,390,141,309,104,366,124,,,,,,,0.0,0.0,0.02,0.02,1.23,2.32,586,146,506,208,560,222,441,160,1.16,0.0,8.71
112,Roerslev,Brentford,DEF,4.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,226956,0,0,0,0,0,2,0.0,0.0,Mads,False,Has joined Southampton permanently.,2025-08-22T14:17:15.662878Z,45,226956.jpg,False,Roerslev Rasmussen,False,,u,5,94,211,0,3698,12,0.0,0.0,58.0,2019-10-27,1999-06-24,False,p226956,0,0,0,0,0,618,233,611,233,591,230,619,233,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,411,81,581,224,627,234,672,227,0.0,0.0,0.0
113,Van den Berg,Brentford,DEF,4.5,0.6,32,3,3.5,3.2,900,0,0,2,16,0,0,0,0,0,0,0,106,201.4,15.6,102.0,32.0,0.96,0.15,1.11,13.09,True,True,,,444765,0,0,0,0,0,2,3.5,3.5,Sepp,False,,,45,444765.jpg,False,van den Berg,False,,a,5,94,72081,595,61705,1204,0.8,7.1,152.0,2024-08-22,2001-12-20,False,p444765,82,30,6,88,10,60,24,313,105,80,12,111,35,,,,,,,0.1,0.0,0.02,0.12,1.31,1.6,423,88,98,35,139,52,222,83,1.0,0.2,8.8
114,Arthur,Brentford,DEF,3.9,0.2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,75.0,0.0,622536,0,0,-1,1,0,2,0.0,0.0,Benjamin,False,Knee injury - 75% chance of playing,2025-10-31T17:00:08.779634Z,39,622536.jpg,False,Arthur,False,,d,5,94,9033,16,20041,779,0.0,0.0,241.0,2024-03-08,2005-10-09,False,p622536,0,0,0,0,0,478,186,461,184,428,173,478,185,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,745,244,427,168,486,186,338,121,0.0,0.0,0.0
115,Fredrick,Brentford,DEF,4.0,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,612534,0,0,0,0,0,2,0.0,0.0,Benjamin,False,has joined Dender on loan for the rest of the season.,2025-09-22T21:16:59.169077Z,40,612534.jpg,False,Fredrick,False,,u,5,94,2020,0,11878,137,0.0,0.0,,,,False,p612534,0,0,0,0,0,544,216,530,215,498,205,545,216,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,692,201,495,200,552,216,472,174,0.0,0.0,0.0
116,Hickey,Brentford,DEF,4.0,0.3,6,0,0.5,1.2,184,0,0,0,3,0,0,0,1,0,0,0,16,12.2,3.6,1.0,1.7,0.02,0.07,0.09,2.25,True,True,100.0,100.0,472713,0,0,0,0,0,2,0.5,0.5,Aaron,False,,2025-10-16T08:00:09.344205Z,40,472713.jpg,False,Hickey,False,,a,5,94,14770,221,31863,500,0.1,1.5,243.0,2022-07-09,2002-06-10,False,p472713,4,7,4,8,2,378,140,369,130,379,134,404,142,,,,,,,0.01,0.0,0.03,0.04,1.1,1.47,655,177,305,102,351,123,301,107,0.98,0.0,3.91
117,Ji-soo,Brentford,DEF,3.9,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,570241,0,0,-1,1,0,2,0.0,0.0,Kim,False,has joined Kaiserslautern on loan for the rest of the season.,2025-09-22T21:16:59.154227Z,39,570241.jpg,False,Ji-soo,False,,u,5,94,4108,0,12706,160,0.0,0.0,114.0,2023-07-20,2004-12-24,False,p570241,0,0,0,0,0,471,180,454,178,421,167,471,179,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,737,237,420,162,479,180,460,169,0.0,0.0,0.0
118,Meghoma,Brentford,DEF,4.0,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,499717,0,0,0,0,0,2,0.0,0.0,Jayden,False,Has joined Rangers on loan for the rest of the season.,2025-08-19T13:37:28.261506Z,40,499717.jpg,False,Meghoma,False,,u,5,94,279,0,9856,63,0.0,0.0,241.0,2024-08-30,2006-06-28,False,p499717,0,0,0,0,0,523,202,509,201,476,190,524,202,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,669,185,473,185,532,203,566,204,0.0,0.0,0.0
120,Schade,Brentford,MID,7.0,0.7,32,1,3.8,3.2,830,2,2,2,11,0,0,1,4,0,0,1,109,156.4,139.7,203.0,50.0,2.72,0.75,3.47,10.70,True,True,100.0,100.0,513418,0,0,0,0,0,3,3.8,3.8,Kevin,False,,2025-08-09T14:00:04.851048Z,70,513418.jpg,False,Schade,False,,a,5,94,101532,3878,65944,4412,0.5,4.6,80.0,2023-07-01,2001-11-27,False,p513418,14,29,17,60,9,100,33,58,45,21,10,32,24,,,,,,,0.29,0.0,0.08,0.37,1.16,1.19,36,21,89,41,145,65,203,66,0.98,0.22,6.51
121,Damsgaard,Brentford,MID,5.8,0.6,31,2,3.5,3.9,632,1,1,2,10,0,0,0,0,0,0,3,131,152.4,201.7,84.0,43.9,0.53,1.29,1.82,9.09,True,True,,,440089,0,0,-2,2,0,3,3.5,3.5,Mikkel,False,,,58,440089.jpg,False,Damsgaard,False,,a,5,94,50335,1441,95563,1830,0.6,5.3,58.0,2022-08-10,2000-07-03,False,p440089,13,29,17,59,8,107,37,31,28,100,63,49,35,2.0,,3.0,,,,0.08,0.0,0.18,0.26,1.29,1.42,112,75,100,44,87,36,211,69,1.14,0.28,8.4
122,Milambo,Brentford,MID,5.3,0.0,1,0,0.0,1.0,45,0,0,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0.00,0.01,0.01,1.49,True,True,0.0,0.0,543295,0,0,-2,2,0,3,0.0,0.0,Antoni,False,Knee injury - Expected back 01 Jun,2025-10-16T08:00:09.362049Z,53,543295.jpg,False,Milambo,False,,i,5,94,1760,5,6040,96,0.0,0.2,152.0,2025-07-03,2005-04-03,False,p543295,0,2,2,4,1,412,195,380,193,714,314,421,199,,,,,,,0.0,0.0,0.02,0.02,2.98,6.0,207,130,703,304,411,196,609,243,2.0,0.0,8.0
123,Carvalho,Brentford,MID,4.9,0.2,13,1,0.5,2.2,100,1,0,0,4,0,0,0,0,0,0,1,42,39.0,6.5,36.0,8.1,0.70,0.03,0.73,2.08,True,True,,,244858,0,0,-1,1,0,3,0.5,0.5,Fábio,False,,,49,244858.jpg,False,Freitas Gouveia Carvalho,False,,a,5,94,26345,130,38967,641,0.1,2.7,173.0,2024-08-12,2002-08-30,False,p244858,0,5,3,8,1,309,140,358,189,224,126,329,160,4.0,,,,,,0.63,0.0,0.03,0.66,1.87,3.6,315,198,313,152,236,100,359,123,0.9,0.0,7.2
124,Henderson,Brentford,MID,5.0,0.4,27,1,1.5,2.7,739,0,2,3,11,0,0,0,3,0,0,2,132,123.6,128.2,12.0,26.3,0.06,0.76,0.82,9.55,True,True,,,56979,0,0,0,0,0,3,1.5,1.5,Jordan,False,,,50,56979.jpg,False,Henderson,False,,a,5,94,47915,823,37752,1720,0.3,5.4,241.0,2025-07-15,1990-06-17,False,p56979,25,38,7,70,9,150,60,68,52,304,160,148,79,,,,,,,0.01,0.0,0.09,0.1,1.16,1.34,239,150,224,104,190,79,261,90,1.1,0.37,8.53
125,Janelt,Brentford,MID,4.9,0.0,9,1,1.8,1.5,139,0,0,0,2,0,0,0,0,0,0,0,27,21.6,35.7,16.0,7.2,0.22,0.23,0.45,1.90,True,True,100.0,100.0,204580,0,0,-1,1,0,3,1.8,1.8,Vitaly,False,,2025-08-09T14:00:04.867824Z,49,204580.jpg,False,Janelt,False,,a,5,94,835,35,1694,44,0.4,1.8,80.0,2020-10-03,1998-05-10,False,p204580,6,10,6,22,0,355,165,235,144,287,156,340,166,,,,,,,0.14,0.0,0.15,0.29,1.23,1.29,303,191,200,91,323,151,675,286,0.0,0.0,14.24
126,Jensen,Brentford,MID,4.9,0.1,20,1,2.2,2.5,208,2,0,0,5,0,0,0,0,0,0,0,87,101.4,51.2,36.0,18.9,0.52,0.14,0.66,3.60,True,True,,,207283,0,0,-1,1,0,3,2.2,2.2,Mathias,False,,,49,207283.jpg,False,Jensen,False,,a,5,94,6601,201,8187,279,0.4,4.1,58.0,2019-07-10,1996-01-01,False,p207283,9,10,7,26,2,183,77,191,127,222,124,218,111,3.0,,,,,,0.22,0.0,0.06,0.28,1.56,2.16,306,193,167,76,214,95,491,171,0.87,0.0,11.25
127,Nunes,Brentford,MID,4.9,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,100.0,100.0,626464,0,0,-1,1,0,3,0.0,0.0,Gustavo,False,,2025-08-09T14:00:04.884092Z,49,626464.jpg,False,Nunes Fernandes Gomes,False,,a,5,94,356,38,942,35,0.0,0.0,30.0,2024-08-28,2005-11-20,False,p626464,0,0,0,0,0,700,300,695,300,682,295,700,300,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,348,220,673,283,701,300,701,303,0.0,0.0,0.0
128,Onyeka,Brentford,MID,4.9,0.1,12,0,0.5,2.0,88,0,2,0,2,0,0,0,0,0,0,0,41,28.4,13.6,4.0,4.6,0.00,0.36,0.36,2.02,True,True,,,428580,0,0,-1,1,0,3,0.5,0.5,Frank,False,,,49,428580.jpg,False,Onyeka,False,,a,5,94,4525,22,6229,126,0.1,2.4,157.0,2021-07-20,1998-01-01,False,p428580,3,5,2,10,0,334,154,322,175,356,184,363,175,,,,,,,0.0,0.0,0.37,0.37,2.07,2.05,319,201,314,153,268,118,560,207,0.0,0.0,10.23
129,Yarmoliuk,Brentford,MID,5.0,0.1,29,2,2.0,2.9,785,0,1,2,14,0,0,0,1,0,0,0,122,126.2,99.5,26.0,25.0,0.23,0.43,0.66,11.25,True,True,100.0,100.0,508395,0,0,0,0,0,3,2.0,2.0,Yehor,False,,2025-10-25T23:00:07.803030Z,50,508395.jpg,False,Yarmoliuk,False,,a,5,94,10068,94,8795,215,0.4,5.8,225.0,2022-10-28,2004-03-01,False,p508395,21,54,18,93,10,143,54,98,71,254,140,158,83,,,,,,,0.03,0.0,0.05,0.08,1.29,1.61,281,175,186,82,173,74,504,178,1.15,0.23,10.66
130,Donovan,Brentford,MID,4.5,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,606689,0,0,0,0,0,3,0.0,0.0,Romelle,False,,,45,606689.jpg,False,Donovan,False,,a,5,94,8523,183,10983,269,0.0,0.0,241.0,2025-07-01,2006-11-30,False,p606689,0,0,0,0,0,665,277,659,278,640,271,666,278,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,475,287,627,255,672,281,462,157,0.0,0.0,0.0
131,Konak,Brentford,MID,4.4,0.2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,628204,0,0,-1,1,0,3,0.0,0.0,Yunus Emre,False,,,44,628204.jpg,False,Konak,False,,a,5,94,21902,127,22236,462,0.0,0.0,219.0,2024-01-11,2006-01-10,False,p628204,0,0,0,0,0,608,235,600,236,577,228,609,236,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,571,328,572,214,618,241,366,126,0.0,0.0,0.0
